
2025/02/12 (18:16:41) | ===> btop++ v.1.4.0
2025/02/12 (18:16:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/12 (18:47:52) | ===> btop++ v.1.4.0
2025/02/12 (18:47:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/13 (10:32:13) | ===> btop++ v.1.4.0
2025/02/13 (10:32:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (15:42:09) | ===> btop++ v.1.4.0
2025/02/25 (15:42:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/08 (22:30:32) | ===> btop++ v.1.4.0
2025/03/08 (22:30:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/08 (22:31:00) | ===> btop++ v.1.4.0
2025/03/08 (22:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/08 (22:31:26) | ===> btop++ v.1.4.0
2025/03/08 (22:31:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/16 (20:32:04) | ===> btop++ v.1.4.0
2025/03/16 (20:32:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (10:27:25) | ===> btop++ v.1.4.0
2025/03/17 (10:27:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (12:15:54) | ===> btop++ v.1.4.0
2025/03/18 (12:15:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (12:15:57) | ===> btop++ v.1.4.0
2025/03/18 (12:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (12:15:57) | ===> btop++ v.1.4.0
2025/03/18 (12:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (12:16:24) | ===> btop++ v.1.4.0
2025/03/18 (12:16:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (15:05:36) | ERROR: Stall in Runner thread, restarting!
2025/03/18 (15:05:36) | ERROR: Stall in Runner thread, restarting!
2025/03/18 (15:05:36) | ERROR: Stall in Runner thread, restarting!

2025/03/19 (12:12:05) | ===> btop++ v.1.4.0
2025/03/19 (12:12:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/20 (14:55:49) | ===> btop++ v.1.4.0
2025/03/20 (14:55:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (12:29:09) | ===> btop++ v.1.4.0
2025/03/21 (12:29:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (14:21:00) | ===> btop++ v.1.4.0
2025/04/01 (14:21:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (23:18:22) | ===> btop++ v.1.4.0
2025/04/01 (23:18:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/02 (19:41:06) | ===> btop++ v.1.4.0
2025/04/02 (19:41:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/02 (19:45:27) | ===> btop++ v.1.4.0
2025/04/02 (19:45:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/02 (23:19:57) | ===> btop++ v.1.4.0
2025/04/02 (23:19:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/03 (23:23:34) | ===> btop++ v.1.4.0
2025/04/03 (23:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (00:16:51) | ===> btop++ v.1.4.0
2025/04/04 (00:16:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (12:27:13) | ===> btop++ v.1.4.0
2025/04/04 (12:27:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (14:21:02) | ===> btop++ v.1.4.0
2025/04/04 (14:21:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (14:39:19) | ===> btop++ v.1.4.0
2025/04/04 (14:39:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (15:09:28) | ===> btop++ v.1.4.0
2025/04/04 (15:09:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/07 (01:55:55) | ===> btop++ v.1.4.0
2025/04/07 (01:55:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/07 (02:08:49) | ===> btop++ v.1.4.0
2025/04/07 (02:08:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/07 (02:09:37) | ===> btop++ v.1.4.0
2025/04/07 (02:09:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/07 (23:30:36) | ===> btop++ v.1.4.0
2025/04/07 (23:30:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (14:55:09) | ===> btop++ v.1.4.0
2025/04/08 (14:55:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (16:23:19) | ===> btop++ v.1.4.0
2025/04/08 (16:23:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (16:23:34) | ===> btop++ v.1.4.0
2025/04/08 (16:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/10 (00:21:33) | ===> btop++ v.1.4.0
2025/04/10 (00:21:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:44:19) | ===> btop++ v.1.4.0
2025/04/11 (21:44:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (22:42:17) | ===> btop++ v.1.4.0
2025/04/11 (22:42:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/12 (01:29:00) | ===> btop++ v.1.4.0
2025/04/12 (01:29:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

